name,id
3200000/00001,31044
3200000/00002,31045
3231301/00001,30132
3231301/00002,30133
3231302/00001,30134
3231302/00002,30135
3231302/00003,30136
3231302/00004,30137
3231302/00005,30138
3231302/00006,30139
3231302/00007,30140
3231302/00008,30141
3231303/00001,30170
3231303/00002,30171
3231303/00003,30172
3231303/00004,30173
3231303/00005,30174
3231401/00001,30142
3231401/00002,30143
3231301/90001,30187
3231301/90002,30188
3231302/90001,30189
3231302/90002,30190
3231302/90003,30191
3231302/90004,30192
3231302/90005,30193
3231302/90006,30194
3231302/90007,30195
3231302/90008,30196
3231303/90001,30223
3231303/90002,30224
3231303/90003,30225
3231303/90004,30226
3231303/90005,30227
3231401/90001,30197
3231401/90002,30198
3231301/80101,30242
3231301/80102,30243
3231302/80101,30244
3231302/80201,30248
3231302/80301,30249
3231302/80601,30247
3231302/80701,30250
3231302/80801,30245
3231302/81001,30246
3231303/80201,30258
3231303/80301,30257
3231303/80401,30256
3231303/80501,30255
3231303/80601,30254
3231303/81001,30253
3231401/80101,30251
3231301/70101,30269
3231301/70102,30270
3231302/70101,30271
3231302/70201,30275
3231302/70301,30276
3231302/70601,30274
3231302/70701,30277
3231302/70801,30272
3231302/71001,30273
3231303/70201,30284
3231303/70301,30283
3231303/70401,30282
3231303/70501,30281
3231303/70601,30280
3231401/70101,30278
